"filename", "language", "HTML", "PHP", "JSON", "Markdown", "reStructuredText", "JavaScript", "CSS", "XML", "YAML", "Makefile", "Docker", "comment", "blank", "total"
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Helpers\FacebookSignedRequestFromInputHelper.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 22, 167
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\HttpClients\FacebookCurl.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 12, 130
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\HttpClients\FacebookCurlHttpClient.php", "PHP", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 29, 211
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\HttpClients\FacebookGuzzleHttpClient.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 12, 98
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\HttpClients\FacebookHttpClientInterface.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 48
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\HttpClients\FacebookStream.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 7, 81
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\HttpClients\FacebookStreamHttpClient.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 11, 95
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Http\GraphRawResponse.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 14, 138
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Http\RequestBodyInterface.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 40
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Http\RequestBodyMultipart.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 18, 171
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Http\RequestBodyUrlEncoded.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 56
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PersistentData\FacebookMemoryPersistentDataHandler.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 4, 54
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PersistentData\FacebookSessionPersistentDataHandler.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 7, 77
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PersistentData\PersistentDataInterface.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 3, 50
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PseudoRandomString\McryptPseudoRandomStringGenerator.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 9, 69
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PseudoRandomString\OpenSslPseudoRandomStringGenerator.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 10, 68
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PseudoRandomString\PseudoRandomStringGeneratorInterface.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 2, 46
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PseudoRandomString\PseudoRandomStringGeneratorTrait.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 4, 59
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\PseudoRandomString\UrandomPseudoRandomStringGenerator.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 90
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\SignedRequest.php", "PHP", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 41, 333
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Url\FacebookUrlDetectionHandler.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 18, 164
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Url\FacebookUrlManipulator.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 20, 168
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Url\UrlDetectionInterface.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 40
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\autoload.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 9, 80
"c:\wamp\www\complaint\application\libraries\google\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
